route_code,total_passengers,weight,source
DEL-BOM,2482000,0.1092,DGCA FY 2024-2025
BOM-DEL,2438000,0.1073,DGCA FY 2024-2025
DEL-BLR,1829000,0.0805,DGCA FY 2024-2025
BLR-DEL,1783000,0.0785,DGCA FY 2024-2025
BOM-BLR,1326000,0.0584,DGCA FY 2024-2025
BLR-BOM,1306000,0.0575,DGCA FY 2024-2025
DEL-CCU,1132000,0.0498,DGCA FY 2024-2025
CCU-DEL,1111000,0.0489,DGCA FY 2024-2025
DEL-HYD,1045000,0.0460,DGCA FY 2024-2025
HYD-DEL,1023000,0.0450,DGCA FY 2024-2025
BLR-HYD,914000,0.0402,DGCA FY 2024-2025
HYD-BLR,893000,0.0393,DGCA FY 2024-2025
MAA-DEL,827000,0.0364,DGCA FY 2024-2025
DEL-MAA,804000,0.0354,DGCA FY 2024-2025
BOM-GOI,761000,0.0335,DGCA FY 2024-2025
GOI-BOM,741000,0.0326,DGCA FY 2024-2025
DEL-PNQ,632000,0.0278,DGCA FY 2024-2025
PNQ-DEL,609000,0.0268,DGCA FY 2024-2025
BOM-CCU,543000,0.0239,DGCA FY 2024-2025
CCU-BOM,522000,0.0230,DGCA FY 2024-2025
