route_code,month,avg_fare_inr,source
BLR-HYD,2024-03,3398,kaggle data 2019-2025
BLR-HYD,2024-04,11677,kaggle data 2019-2025
BLR-HYD,2024-08,11118,kaggle data 2019-2025
BLR-HYD,2024-10,4558,kaggle data 2019-2025
BLR-HYD,2024-11,3812,kaggle data 2019-2025
BLR-HYD,2024-12,8194,kaggle data 2019-2025
BLR-HYD,2025-02,6879,kaggle data 2019-2025
BLR-HYD,2025-10,3367,kaggle data 2019-2025
BOM-BLR,2024-09,2913,kaggle data 2019-2025
BOM-BLR,2024-12,4763,kaggle data 2019-2025
BOM-BLR,2025-02,3430,kaggle data 2019-2025
BOM-BLR,2025-09,10916,kaggle data 2019-2025
DEL-BLR,2024-08,9093,kaggle data 2019-2025
DEL-BLR,2024-09,6081,kaggle data 2019-2025
DEL-BLR,2025-06,3682.5,kaggle data 2019-2025
DEL-BLR,2025-10,11315,kaggle data 2019-2025
DEL-BOM,2024-09,6511.5,kaggle data 2019-2025
DEL-BOM,2025-04,10402,kaggle data 2019-2025
DEL-BOM,2025-07,8548,kaggle data 2019-2025
DEL-BOM,2025-10,9794,kaggle data 2019-2025
DEL-CCU,2024-01,8370.5,kaggle data 2019-2025
DEL-CCU,2024-03,5413,kaggle data 2019-2025
DEL-CCU,2024-05,6901,kaggle data 2019-2025
DEL-CCU,2024-07,6083,kaggle data 2019-2025
DEL-CCU,2025-05,5305,kaggle data 2019-2025
DEL-CCU,2025-07,4972,kaggle data 2019-2025
DEL-CCU,2025-11,8042,kaggle data 2019-2025
MAA-DEL,2024-03,7102,kaggle data 2019-2025
MAA-DEL,2024-11,11397,kaggle data 2019-2025
MAA-DEL,2025-03,4091,kaggle data 2019-2025
MAA-DEL,2025-06,9340,kaggle data 2019-2025
MAA-DEL,2025-08,9746,kaggle data 2019-2025
